date,open,high,low,close,volume,oi,oi_change,oi_cumm,volume_change
2024-02-20 10:16:00,360.45,380.15,348.9,380.15,264630,624330,19.0016011,454.5545706,61.52719282
2024-02-20 10:17:00,380.15,388.05,370.1,379.8,230310,624330,0,454.5545706,-12.96905113
2024-02-20 10:18:00,379.8,385.45,362.65,362.65,180000,624330,0,454.5545706,-21.8444705
2024-02-20 10:19:00,362.65,365.95,352.05,357.5,144585,780375,24.99399356,479.5485642,-19.675
2024-02-20 10:20:00,357.5,372.95,352.05,369.5,227865,780375,0,479.5485642,57.59933603
2024-02-20 10:21:00,369.5,369.9,358,365.1,89955,780375,0,479.5485642,-60.5226779
2024-02-20 10:22:00,364.7,365.05,356.75,362.3,74190,944010,20.96876502,500.5173292,-17.52542938
2024-02-20 10:23:00,362.3,374.15,359.25,369.1,106590,944010,0,500.5173292,43.67165386
2024-02-20 10:24:00,369.1,370,358.1,361.6,86145,944010,0,500.5173292,-19.18097382
2024-02-20 10:25:00,361.6,369.75,355.55,364,69390,972645,3.033336511,503.5506657,-19.44976493
2024-02-20 10:26:00,364,374.7,360.6,369.4,99840,972645,0,503.5506657,43.8824038
2024-02-20 10:27:00,369.4,372.6,361.25,371.65,78090,972645,0,503.5506657,-21.78485577
2024-02-20 10:28:00,371.65,371.7,362.2,367.2,58035,1003485,3.170735469,506.7214012,-25.68190549
2024-02-20 10:29:00,367.2,368.15,325.25,332.85,210300,1003485,0,506.7214012,262.3675368
2024-02-20 10:30:00,332.85,337.65,291.65,297.1,390195,1003485,0,506.7214012,85.54208274
2024-02-20 10:31:00,297.1,321.45,296.1,321.1,312645,1057200,5.352845334,512.0742465,-19.87467805
2024-02-20 10:32:00,321.15,342.8,312.8,338.8,263115,1057200,0,512.0742465,-15.8422492
2024-02-20 10:33:00,340.2,359,339.35,351.2,276240,1057200,0,512.0742465,4.988313095
2024-02-20 10:34:00,351.2,361.2,332.05,336.5,175215,1150635,8.837968218,520.9122147,-36.5714596
2024-02-20 10:35:00,336.5,354.15,335.8,351.65,152085,1150635,0,520.9122147,-13.20092458
2024-02-20 10:36:00,351.65,358.1,344.9,355.25,126825,1150635,0,520.9122147,-16.60913305
2024-02-20 10:37:00,355.25,367,344.5,360.15,194985,1153860,0.280280019,521.1924947,53.74334713
2024-02-20 10:38:00,360.15,364.5,353.4,358.7,104460,1153860,0,521.1924947,-46.4266482
2024-02-20 10:39:00,358.7,367.05,350.95,357.6,106425,1153860,0,521.1924947,1.881102814
2024-02-20 10:40:00,357.6,365.9,352.5,363.65,63870,1160370,0.56419323,521.756688,-39.98590557
2024-02-20 10:41:00,361.25,374.65,355.8,357.55,201375,1160370,0,521.756688,215.288868
2024-02-20 10:42:00,357.55,379.35,355,366.95,150855,1160370,0,521.756688,-25.08752328
2024-02-20 10:43:00,366.95,381.7,366.7,372.75,145260,1165290,0.424002689,522.1806906,-3.708859501
2024-02-20 10:44:00,372.75,387.9,372.65,384.35,124800,1165290,0,522.1806906,-14.08508881
2024-02-20 10:45:00,384.35,384.35,370.2,370.7,128880,1165290,0,522.1806906,3.269230769
